year,address_ku,open_count,close_count
2010,千代田区,0.0,0.0
2011,千代田区,70.0,47.0
2012,千代田区,219.0,115.0
2013,千代田区,8.0,18.0
2014,千代田区,29.0,6.0
2015,千代田区,157.0,82.0
2016,千代田区,263.0,110.0
2017,千代田区,253.0,167.0
2018,千代田区,372.0,136.0
2019,千代田区,308.0,114.0
2020,千代田区,298.0,178.0
2021,千代田区,257.0,141.0
2022,千代田区,238.0,118.0
